lat,lon,elevation,ai_risk_score
13.0655045,80.2737828,9.0,0.93124807
13.0608586,80.2750418,11.0,0.9349507
13.0608539,80.275668,9.0,0.8883548
13.0597265,80.275723,11.0,0.87011695
13.061098,80.2756801,9.0,0.8575647
13.0629054,80.2757238,11.0,0.36799726
13.0625448,80.2757084,12.0,0.7259332
13.0632011,80.2757534,13.0,0.41567004
13.0634059,80.2757855,13.0,0.35387695
13.063599,80.2763572,14.0,0.20634286
13.0637724,80.2774305,9.0,0.71632564
13.0625293,80.2770031,12.0,0.4053201
13.0625578,80.2774114,14.0,0.4818529
13.0610558,80.27737,10.0,0.76347417
13.0625094,80.2762479,11.0,0.78902817
13.0611134,80.2766043,8.0,0.9740354
13.06108,80.2769595,8.0,0.9362176
13.0631921,80.2774202,12.0,0.4426428
13.0611135,80.276198,11.0,0.9112303
13.0597608,80.2769826,10.0,0.96748114
13.0597463,80.2763648,11.0,0.88349783
13.0583649,80.2766967,9.0,0.95720524
13.0559971,80.2762184,10.0,0.82292026
13.0567162,80.2763403,11.0,0.6506735
13.0597539,80.2761824,11.0,0.8672331
13.0597551,80.2766055,11.0,0.93158066
13.057674,80.2740306,12.0,0.8074752
13.0562347,80.2738884,10.0,0.7337623
13.0552944,80.273806,12.0,0.58217657
13.0545357,80.2737975,12.0,0.88390553
13.0513531,80.2741651,8.0,0.9922955
13.0506808,80.2742919,8.0,0.9972255
13.0489871,80.2746007,8.0,0.9993401
13.0457494,80.2743861,9.0,0.9661649
13.0433746,80.2742818,9.0,0.9972031
13.0420788,80.2744791,7.0,0.99982053
13.0412992,80.2744124,7.0,0.9994779
13.0405492,80.2743959,7.0,0.9985838
13.0399004,80.2742462,8.0,0.98370636
13.0391109,80.2739326,9.0,0.916863
13.0387061,80.2738797,12.0,0.68585736
13.0382403,80.2738597,12.0,0.5069074
13.0375486,80.2738275,9.0,0.5246999
13.0374687,80.2738695,9.0,0.5693428
13.036789,80.2738048,14.0,0.22378252
13.0362115,80.2737848,12.0,0.2443782
13.0342553,80.2737173,12.0,0.24179038
13.033938,80.2737058,12.0,0.28567243
13.0329077,80.2739111,12.0,0.28785282
13.031814,80.2740132,12.0,0.33715594
13.0315028,80.2740447,11.0,0.62862056
13.0306311,80.2742323,12.0,0.83437943
13.0301691,80.2743466,11.0,0.88523304
13.0295973,80.2744822,9.0,0.9426849
13.0281981,80.2790637,1.0,0.9999846
13.0282225,80.2787439,7.0,0.99991214
13.0282664,80.2783421,9.0,0.99950147
13.0284798,80.2770607,5.0,0.99680376
13.0287891,80.275909,10.0,0.98366416
13.0289854,80.2746441,9.0,0.94059646
13.0287212,80.2736032,11.0,0.8298682
13.0286865,80.2728221,11.0,0.61697507
13.028737,80.2725864,12.0,0.43670473
13.0290113,80.2720906,12.0,0.5168444
13.0292508,80.2717213,10.0,0.7287366
13.029379,80.2710867,11.0,0.7182084
13.0293515,80.2698368,11.0,0.7401466
13.0293089,80.2689843,12.0,0.779057
13.0292595,80.2682794,10.0,0.85522395
13.0292535,80.2668263,9.0,0.96796495
13.0296787,80.2626371,8.0,0.991748
13.0291452,80.2611738,4.0,0.9994758
13.0293321,80.2607792,7.0,0.9994906
13.0293952,80.2607442,7.0,0.99542856
13.0293857,80.260278,10.0,0.9790475
13.0288069,80.2579441,10.0,0.7149813
13.0289174,80.2564883,11.0,0.36305174
13.0290408,80.2551993,12.0,0.43851823
13.0291172,80.2539777,12.0,0.33562607
13.0293291,80.2501638,12.0,0.53858066
13.0736861,80.2853397,9.0,0.9994729
13.0741428,80.285796,7.0,0.99895287
13.0620586,80.2629025,8.0,0.23699757
13.0638675,80.2599927,6.0,0.9987465
